	user_id	item_id	cluster
582	583	[1, 3, 3078, 1039, 1041, 1045, 1048, 25, 32, 1058, 547, 1060, 548, 550, 2091, 2092, 562, 1081, 60, 589, 2638, 2132, 2138, 1119, 1631, 1632, 1635, 1638, 106, 3183, 2683, 130, 1670, 135, 1690, 1180, 1693, 1183, 3234, 2723, 2724, 1698, 3236, 2734, 686, 3271, 721, 2271, 752, 753, 2803, 757, 2807, 248, 768, 1793, 259, 772, 1811, 275, 1301, 1812, 2839, 279, 797, 802, 1827, 2345, 1324, 1328, 314, 2370, 327, 1360, 2399, 2400, 1890, 1897, 875, 1908, 1914, 1409, 1410, 396, 1934, 2966, 919, 2459, 924, 1436, 926, 2984, 424, 1986, 1990, 3022, 1486, 3033, 476, 997, 494, 1011, 1014, 1022]	0
250	251	[1670, 1160, 11, 909, 911, 2964, 2325, 671, 32, 1058, 547, 1445, 551, 1324, 1069, 1840, 1714, 1464, 2110, 3391, 3392, 447, 3394, 1733, 3400, 3401, 2889, 2511, 2512, 3410, 1106, 3412, 2514, 3416, 1112, 1628, 2656, 2403, 357, 1638, 2412, 1399, 1021]	1
179	180	[2561, 1029, 275, 2587, 2459, 33, 1058, 2595, 1321, 2218, 2607, 562, 953, 1986, 1094, 2888, 1867, 208, 1744, 1360, 2515, 2776, 987, 3292, 2652, 3168, 995, 1892, 3047, 1897, 889, 1018, 2683, 1022, 1151]	2
183	184	[2049, 1026, 772, 2056, 10, 1163, 782, 1168, 275, 2580, 2965, 1180, 1183, 927, 930, 3234, 1446, 295, 552, 1065, 1324, 49, 1074, 2099, 3124, 950, 3128, 1722, 446, 1086, 3269, 2889, 2512, 1744, 982, 1751, 3034, 1631, 482, 997, 999, 494, 2543, 1774, 2545, 626, 2803, 2040, 2682, 1022]	3
271	272	[1, 2, 516, 517, 3078, 2567, 2570, 10, 2058, 2060, 2065, 3090, 2577, 21, 2070, 2583, 24, 2585, 1559, 2587, 1557, 3101, 1567, 1056, 33, 2594, 1058, 1060, 549, 548, 3109, 1064, 545, 3114, 43, 2604, 1069, 1073, 1074, 1587, 564, 1077, 50, 1081, 2106, 58, 1084, 1593, 1086, 1087, 1090, 2626, 2627, 2119, 3067, 1096, 2123, 2125, 1103, 2639, 593, 1106, 3156, 598, 2135, 2654, 2656, 100, 1637, 1638, 2664, 107, 2668, 3182, 2172, 2685, 2173, 3201, 642, 644, 2694, 2695, 1670, 138, 1675, 2188, 1676, 1165, 143, 2198, 2204, 3228, 1181, 3232, 3233, 3234, 676, 3236, 165, 2215, 680, 2217, 2218, 2221, 2222, 2735, 1714, 3250, 691, 2231, 2233, 2746, 1722, 2748, 2750, 2751, 192, 705, 2242, 3271, 200, 3276, 716, 206, 721, 2770, 1746, 217, 2782, 1762, 2791, 1768, 1773, 2286, 237, 1776, 1777, 2290, 242, 1267, 1783, 2296, 2807, 2299, 1276, 2303, 768, 2305, 1280, 1792, 2309, 2310, 2311, 2312, 2825, 2821, 2315, 2316, 1800, 1804, 2319, 3340, 2833, 2321, 2322, 2323, 2325, 1301, 1810, 2840, 1811, 2842, 2331, 2332, 1308, 282, 2848, 1828, 3364, 294, 2344, 1834, 1324, 1836, 1840, 817, 818, 1331, 3381, 2370, 2883, 1859, 1861, 326, 2886, 2889, 2378, 2379, 2380, 333, 2894, 1358, 329, 334, 339, 3412, 1365, 341, 344, 859, 862, 2399, 865, 868, 2405, 357, 1801, 2412, 2927, 2416, 1911, 1399, 2937, 2428, 2940, 2430, 2431, 896, 1412, 905, 2442, 2443, 1932, 909, 910, 2827, 402, 2964, 407, 2459, 923, 927, 2468, 2471, 1960, 1961, 1451, 1454, 431, 2993, 948, 2999, 1463, 955, 447, 2498, 2499, 1993, 1482, 3019, 1996, 1486, 2512, 2514, 2004, 2006, 2008, 3033, 3041, 481, 997, 998, 999, 2021, 2029, 2031, 2032, 2033, 3056, 1011, 2036, 2551, 1016, 1017, 2042, 2043, 2044, 1021]	4
326	327	[1026, 1029, 1034, 1548, 1037, 1043, 1046, 1047, 1049, 1050, 1051, 3100, 1053, 3102, 1055, 1059, 1573, 1061, 551, 1066, 556, 2095, 3120, 1583, 2610, 1075, 49, 562, 2617, 1081, 1083, 1597, 1599, 1093, 1095, 2634, 1611, 1103, 1615, 1622, 1623, 3168, 2672, 2674, 1139, 3213, 653, 1680, 3218, 147, 1684, 1174, 2711, 3224, 1698, 1704, 682, 175, 2743, 1210, 2242, 3267, 3266, 710, 2762, 2764, 2257, 721, 3288, 2278, 1770, 748, 2287, 752, 753, 754, 242, 759, 762, 765, 768, 2817, 771, 773, 775, 1799, 1292, 789, 285, 2846, 799, 3360, 3361, 2337, 2848, 803, 2340, 2352, 2870, 2875, 1852, 2885, 1867, 1360, 2389, 352, 874, 2412, 2931, 2932, 2429, 894, 900, 1414, 2951, 2445, 914, 2459, 415, 2975, 2980, 2981, 933, 2983, 2985, 1963, 968, 1995, 2523, 2529, 995, 999, 3049, 494, 1008, 497, 1013, 1014, 1018, 1020]	5
448	449	[2, 905, 1675, 1805, 1807, 1685, 1174, 2325, 2585, 411, 1691, 927, 1057, 1828, 2991, 1840, 448, 2242, 1859, 1992, 3277, 344, 859, 2405, 1637, 105, 1773, 242, 1139, 1015, 1528, 2559]	6
285	286	[275, 2459, 927, 3364, 1445, 550, 1064, 424, 1583, 562, 1337, 577, 2889, 1360, 721, 3412, 1367, 2905, 998, 106, 2412, 2028, 753, 757, 2937]	7
442	443	[1034, 272, 275, 919, 927, 549, 46, 49, 562, 1860, 2247, 1360, 721, 1750, 1623, 1631, 2028, 494, 1014, 1022]	8
155	156	[1, 1030, 11, 2061, 21, 1049, 25, 2587, 544, 546, 3106, 1064, 554, 45, 1583, 56, 1593, 67, 2631, 589, 2130, 3160, 101, 2682, 3196, 129, 2689, 644, 136, 1676, 1180, 670, 1193, 2730, 686, 2747, 707, 205, 3286, 1240, 234, 2285, 1267, 2807, 248, 2821, 2823, 3346, 2333, 800, 1317, 316, 1341, 319, 333, 334, 2399, 1378, 354, 357, 881, 882, 1912, 1416, 1419, 1934, 407, 1944, 2459, 1445, 2993, 1457, 435, 1970, 457, 459, 1996, 3022, 985, 476, 491, 494, 3055, 1519, 2033, 2036, 500, 505]	9
